销售员,团队,第一季度,第二季度,第三季度,第四季度,总和
刘一,A,6324,5621,6069,6005,24019
陈二,B,4508,3391,5933,5002,18834
张三,C,3426,3549,5872,5759,18606
李四,D,2104,3939,3285,3461,12789
王五,A,4830,5763,2923,4033,17549
赵六,B,2545,3747,2232,3472,11996
孙七,C,3964,5053,6499,5056,20572
周八,D,5584,6176,5405,6683,23848
吴九,A,2769,5440,5724,4338,18271
郑十,B,4935,2617,2424,3833,13809
冯十一,C,4360,4846,4355,5182,18743
蒋十二,D,4509,3673,4717,3489,16388
毕十三,A,4873,5403,3889,2567,16732
朱十四,B,3338,4965,5800,4061,18164
秦十五,C,1501,2238,1272,2265,7276
许十六,D,5369,3420,5169,5790,19748
钱十七,A,6924,5912,5907,5263,24006
沈十八,B,2733,2649,3402,3164,11948
韩十九,C,1519,1553,1411,2091,6574
杨二十,D,3268,5090,3898,4180,16436
